adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=CommercialPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=CommercialRealEstateMortgageIndustrialAndWarehouse;,,960100000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=CommercialPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=ForeignCommercialLoans;InternalCreditAssessment=FourToFiveInternalGrade;,,974100000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=CommercialPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=OtherCommercialLoan;,,2973700000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=ConsumerPortfolioSegment;,,21517300000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=ConsumerPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=ForeignConsumerLoans;,,657400000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=ConsumerPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=ForeignConsumerLoans;InternalCreditAssessment=FourToFiveInternalGrade;,,385300000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=ConsumerPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=ResidentialRealEstate;Geographical=FL;,,1597900000.0,
0000073124-26-000016,FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancingReceivablePortfolioSegment=ConsumerPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=ResidentialRealEstate;InternalCreditAssessment=SixToNineInternalGrade;,,93300000.0,
0000073124-26-000016,ForeignCurrencyTransactionGainLossBeforeTax,us-gaap/2025,20231231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,-9100000.0,
0000073124-26-000016,ForeignCurrencyTransactionGainLossBeforeTax,us-gaap/2025,20251231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,0.0,
0000073124-26-000016,GainLossOnInvestments,us-gaap/2025,20251231,4,USD,,,0.0,
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20241231,0,USD,FairValueByMeasurementBasis=CarryingReportedAmountFairValueDisclosure;,,22296700000.0,
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20241231,0,USD,FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,20654500000.0,
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20241231,0,USD,FinancialInstrument=OtherSecurities;,,449200000.0,
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20251231,0,USD,,,22381200000.0,
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20251231,0,USD,FinancialInstrument=ForeignGovernmentDebtSecurities;,,4713900000.0,
